dt,code,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,stock_code,stock_name
2026-01-23,920368,38.68,47.16,47.16,38.6,282545.0,1261154950.0,23.59,29.99,10.88,12.65,920368,连城数控
2026-01-23,920414,13.33,17.21,17.21,13.33,104354.0,174200888.22,29.31,29.98,3.97,18.93,920414,欧普泰
2026-01-23,300861,16.1,19.3,19.3,16.1,590580.0,1078038254.59,19.9,20.02,3.22,14.0,300861,美畅股份
2026-01-23,688323,21.0,25.91,25.91,20.97,192320.0,469635631.0,22.88,20.01,4.32,10.68,688323,瑞华泰
2026-01-23,688726,49.0,55.54,55.54,49.0,232996.0,1263022285.0,14.13,20.01,9.26,10.59,688726,拉普拉斯
2026-01-23,300102,32.93,39.17,39.17,32.93,1886803.0,6905933040.9,19.12,20.01,6.53,20.59,300102,乾照光电
2026-01-23,300436,82.45,96.28,96.28,82.07,185473.0,1699499472.72,17.71,20.0,16.05,13.57,300436,广生堂
2026-01-23,301232,202.89,224.92,224.92,200.01,91006.0,1957508591.33,13.29,20.0,37.49,20.37,301232,飞沃科技
2026-01-23,688270,184.0,215.93,215.93,182.05,306431.0,6165581016.0,18.83,20.0,35.99,14.32,688270,臻镭科技
2026-01-23,688223,5.76,6.9,6.9,5.76,5754121.0,3768276564.0,19.83,20.0,1.15,5.75,688223,晶科能源
2026-01-23,301149,11.75,13.8,13.8,11.75,649257.0,861305821.52,17.83,20.0,2.3,24.85,301149,隆华新材
2026-01-23,300986,37.5,39.84,39.84,37.48,328970.0,1287637130.92,7.11,20.0,6.64,7.99,300986,志特新材
2026-01-23,300780,29.01,31.32,31.32,28.98,408763.0,1253952495.61,8.97,20.0,5.22,38.01,300780,德恩精工
2026-01-23,300751,300.04,324.36,324.36,300.04,82374.0,2602188482.04,9.0,20.0,54.06,4.26,300751,迈为股份
2026-01-23,300724,118.34,134.1,134.1,117.33,545467.0,7092269295.68,15.01,20.0,22.35,18.96,300724,捷佳伟创
2026-01-23,300118,18.14,20.76,20.76,18.11,1320446.0,2640575467.94,15.32,20.0,3.46,14.25,300118,东方日升
