dt,code,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,stock_code,stock_name
2025-12-17,001208,19.8,20.8,21.7,19.58,1547877.0,3217377253.67,10.72,5.21,1.03,58.77,001208,华菱线缆
2025-12-18,001208,20.8,21.25,22.88,20.06,1510053.0,3248717976.88,13.56,2.16,0.45,57.33,001208,华菱线缆
2026-01-05,001210,17.6,18.84,18.84,17.24,117670.0,218707470.96,9.34,9.98,1.71,12.35,001210,金房能源
2026-01-07,001230,22.35,23.74,24.01,22.35,60129.0,141109157.94,7.49,7.18,1.59,11.33,001230,劲旅环境
2025-12-08,001231,23.19,23.85,25.5,23.04,104044.0,251902943.9,10.61,2.89,0.67,20.85,001231,农心科技
2025-12-08,001236,10.63,10.9,11.36,10.58,369821.0,406181626.52,7.48,4.51,0.47,4.88,001236,弘业期货
2026-01-09,001238,51.42,54.66,54.96,51.42,16715.0,89737444.48,6.88,6.3,3.24,1.61,001238,浙江正特
2025-12-11,001285,52.01,53.43,53.79,52.0,79992.0,424623841.42,3.51,4.81,2.45,19.69,001285,瑞立科密
2025-12-24,001316,34.62,38.09,38.09,34.21,59033.0,219380531.47,11.2,9.99,3.46,5.3,001316,润贝航科
2025-12-25,001316,38.0,38.93,39.37,37.5,76440.0,296959256.05,4.91,2.21,0.84,6.87,001316,润贝航科
2025-12-11,001317,41.42,43.38,44.43,40.69,62719.0,267178541.89,9.03,4.73,1.96,17.91,001317,三羊马
2025-12-29,001319,26.0,26.88,27.42,25.85,56146.0,149717621.0,6.07,3.9,1.01,6.85,001319,铭科精技
2025-12-26,001326,44.16,46.35,46.35,43.6,20875.0,95864842.68,6.53,9.99,4.21,8.66,001326,联域股份
2025-12-29,001331,43.38,46.31,46.31,42.9,257208.0,1157260373.37,8.1,10.0,4.21,15.32,001331,胜通能源
2026-01-08,001331,60.0,60.04,61.63,56.1,305154.0,1822215656.37,9.87,7.16,4.01,18.18,001331,胜通能源
2026-01-05,001333,21.45,23.65,23.65,21.45,47513.0,110235087.2,10.23,10.0,2.15,10.8,001333,光华股份
2025-12-11,001359,60.0,64.0,64.5,60.0,46319.0,291620294.54,7.59,7.91,4.69,9.99,001359,平安电工
2025-12-10,001376,12.24,12.83,13.12,12.24,171113.0,217524598.0,7.19,4.82,0.59,8.01,001376,百通能源
2025-12-11,001376,12.8,13.95,14.11,12.8,583544.0,810871665.99,10.21,8.73,1.12,27.3,001376,百通能源
2025-12-12,001376,13.8,14.7,15.1,13.8,739074.0,1070421414.97,9.32,5.38,0.75,34.58,001376,百通能源
2025-12-12,001382,20.16,20.72,20.91,20.08,64485.0,133032301.35,4.12,2.83,0.57,10.4,001382,新亚电缆
2025-12-26,001388,42.86,44.25,44.74,42.86,22447.0,98969796.33,4.37,2.76,1.19,7.34,001388,信通电子
2025-12-12,001395,42.8,44.84,46.83,42.65,21302.0,95426907.7,9.75,4.55,1.95,10.82,001395,亚联机械
2025-12-25,001400,67.66,74.56,74.56,67.33,48735.0,354352712.86,10.67,10.0,6.78,32.49,001400,江顺科技
2025-12-26,001400,73.82,76.62,80.0,73.6,49603.0,382758491.0,8.58,2.76,2.06,33.07,001400,江顺科技
2026-01-13,001896,6.24,6.38,6.61,5.96,1602557.0,1003268658.33,10.82,6.16,0.37,10.5,001896,豫能控股
2026-01-14,002004,4.97,5.45,5.45,4.93,1723732.0,917301434.59,10.51,10.1,0.5,9.16,002004,华邦健康
2025-12-16,002017,20.6,21.81,22.26,20.11,475350.0,1016923589.73,10.4,5.46,1.13,8.19,002017,东信和平
2026-01-05,002030,5.96,6.24,6.24,5.95,306096.0,188163919.45,4.87,4.7,0.28,2.18,002030,达安基因
2025-12-25,002031,7.4,7.91,8.11,7.39,3066057.0,2437177688.65,9.77,7.33,0.54,15.81,002031,巨轮智能
2025-12-17,002044,5.01,5.47,5.47,4.99,2491125.0,1344908307.69,9.66,10.06,0.5,6.43,002044,美年健康
2025-12-18,002044,5.77,6.02,6.02,5.5,5454576.0,3180505816.05,9.51,10.05,0.55,14.08,002044,美年健康
2025-12-10,002048,28.8,30.58,31.3,28.8,532101.0,1619061909.18,8.74,6.92,1.98,7.5,002048,宁波华翔
2025-12-29,002052,12.32,13.3,13.55,12.27,693020.0,913241363.61,10.39,7.95,0.98,10.05,002052,同洲电子
2025-12-15,002053,11.15,12.21,12.21,11.11,208130.0,246945174.12,9.91,10.0,1.11,2.26,002053,云南能投
2026-01-08,002054,7.61,7.9,8.09,7.57,286942.0,225485573.19,6.85,4.08,0.31,7.47,002054,德美化工
2025-12-19,002057,10.16,10.43,10.48,10.1,346388.0,357394843.85,3.87,6.21,0.61,4.6,002057,中钢天源
2025-12-22,002067,5.3,5.45,5.66,5.21,1681781.0,909342358.35,8.74,5.83,0.3,12.57,002067,景兴纸业
2025-12-25,002078,15.55,15.94,16.13,15.1,771820.0,1210223417.13,6.64,2.71,0.42,2.78,002078,太阳纸业
2025-12-22,002081,3.25,3.33,3.42,3.24,423051.0,140712149.9,5.52,2.15,0.07,1.6,002081,金 螳 螂
2025-12-26,002081,3.31,3.62,3.62,3.31,1324009.0,473777954.66,9.42,10.03,0.33,5.01,002081,金 螳 螂
2025-12-24,002082,11.97,12.2,12.82,11.8,246769.0,305252134.1,8.67,3.65,0.43,4.46,002082,万邦德
2025-12-30,002092,4.79,5.15,5.19,4.78,1251510.0,627569496.0,8.54,7.29,0.35,4.86,002092,中泰化学
2026-01-07,002092,5.37,5.49,5.83,5.36,2804375.0,1562062722.39,8.67,1.29,0.07,10.89,002092,中泰化学
2025-12-31,002094,7.51,7.65,7.98,7.5,902164.0,695162828.57,6.6,5.23,0.38,13.07,002094,青岛金王
2025-12-30,002099,6.32,6.51,6.79,6.29,720522.0,474889848.85,8.1,5.51,0.34,4.46,002099,海翔药业
2025-12-15,002100,7.13,7.34,7.56,7.13,700346.0,516397093.43,6.2,5.76,0.4,5.13,002100,天康生物
2025-12-18,002103,9.75,9.86,9.86,9.75,218781.0,215472925.14,1.23,10.04,0.9,5.75,002103,广博股份
2025-12-16,002104,18.41,20.38,20.38,17.85,1154146.0,2263850653.26,13.65,9.98,1.85,19.25,002104,恒宝股份
2026-01-06,002109,3.55,3.86,3.89,3.55,399842.0,151085257.73,9.52,8.12,0.29,3.13,002109,兴化股份
2026-01-07,002112,15.57,15.58,15.58,14.79,435217.0,670371048.18,5.58,10.03,1.42,16.61,002112,三变科技
2025-12-11,002123,11.2,12.3,12.3,11.02,609174.0,726885737.55,11.45,10.02,1.12,8.46,002123,梦网科技
2025-12-19,002127,3.49,3.63,3.64,3.45,898072.0,322036287.76,5.46,4.31,0.15,4.5,002127,南极电商
2025-12-31,002131,5.12,5.64,5.64,5.11,9945736.0,5472890777.11,10.33,9.94,0.51,17.0,002131,利欧股份
