code,industry,industry_detail
SH688785,半导体,半导体设备
SH688443,生物制品,其他生物制品
SH688356,化学制药,原料药
SZ301489,电子化学品,电子化学品
SH688520,生物制品,其他生物制品
SH688235,化学制药,化学制剂
SZ002307,建筑装饰,基础建设
SH688256,半导体,数字芯片设计
SH688556,光伏设备,光伏加工设备
SH688566,化学制药,化学制剂
SH688809,半导体,半导体设备
SZ003041,服装家纺,家纺
SH603039,软件开发,横向通用软件
SZ300478,塑料制品,改性塑料
SH600711,工业金属,铜
SZ301345,汽车服务及其他,其他运输设备
SZ300953,电池,锂电池
SH688313,通信设备,通信网络设备及器件
SH600115,机场航运,航空运输
SH688400,自动化设备,其他自动化设备
SZ300547,汽车零部件,底盘与发动机系统
SH688392,电池,锂电专用设备
SH603271,工业金属,铝
SZ301205,通信设备,通信网络设备及器件
SH603669,化学制药,化学制剂
SZ003023,小家电,小家电
SZ300199,化学制药,化学制剂
SH600207,光伏设备,光伏辅材
SZ300238,医疗器械,医疗耗材
SH688428,生物制品,其他生物制品
SH600410,IT服务,IT服务
SH688010,光学光电子,光学元件
SH603626,消费电子,消费电子零部件及组装
SZ301338,专用设备,其他专用设备
SZ002283,汽车零部件,底盘与发动机系统
SH600645,医疗器械,体外诊断
SH603115,电子化学品,电子化学品
SZ300972,零售,百货零售
SZ002653,化学制药,化学制剂
SZ300910,化学制品,其他化学制品
SH603590,生物制品,其他生物制品
SH603336,种植业与林业,其他种植业
SZ300814,元件,印制电路板
SZ300819,纺织制造,其他纺织
SZ301165,通信设备,通信网络设备及器件
SH688612,汽车零部件,汽车电子电气系统
SZ001359,非金属材料,非金属材料
SH688691,半导体,集成电路制造
SH603010,化学制品,其他化学制品
SH688796,医疗服务,医疗研发外包
SZ002891,农产品加工,宠物食品
SZ002555,游戏,游戏
SH605366,化学制品,有机硅
SH688177,生物制品,其他生物制品
SH603993,工业金属,铜
SZ300503,通用设备,其他通用设备
SZ301132,元件,印制电路板
SZ301257,医疗服务,医疗研发外包
SZ003018,包装印刷,包装
SH688328,专用设备,其他专用设备
SZ300592,互联网电商,互联网电商
SH600292,电力,水电
SH601100,工程机械,工程机械
SZ300594,轨交设备,轨交设备
SH688195,光学光电子,光学元件
SH688700,专用设备,其他专用设备
SZ301130,化学制药,化学制剂
SZ301096,医疗服务,医疗研发外包
SZ300639,医疗器械,体外诊断
SZ301520,医疗服务,医疗研发外包
SH603328,元件,印制电路板
SH601789,建筑装饰,房屋建设
SH688607,医疗器械,医疗设备
SZ001223,自动化设备,其他自动化设备
SH688696,黑色家电,其他黑色家电
SZ301226,通用设备,其他通用设备
